cellline,concentration,viability
HCT116,-0.5228787452803376,0.046
HCT116,-3.853871964321762,0.989
HCT116,-3.3979400086720375,0.973
HCT116,-2.9208187539523753,1.045
HCT116,-2.431798275933005,0.963
HCT116,-1.958607314841775,0.999
HCT116,-1.4685210829577449,0.645
HCT116,-1.0,0.352
HCT116,-0.5228787452803376,0.033
HCT116,-3.853871964321762,1.071
HCT116,-3.3979400086720375,1.046
HCT116,-2.9208187539523753,1.007
HCT116,-2.431798275933005,0.989
HCT116,-1.958607314841775,1.005
HCT116,-1.4685210829577449,0.413
HCT116,-1.0,0.254
HCT116,-0.5228787452803376,0.049
HCT116,-3.853871964321762,0.987
HCT116,-3.3979400086720375,1.125
HCT116,-2.9208187539523753,1.026
HCT116,-2.431798275933005,0.939
HCT116,-1.958607314841775,0.974
HCT116,-1.4685210829577449,0.502
HCT116,-1.0,0.272
HCT116,-0.5228787452803376,0.017
HCT116,-3.853871964321762,1.073
HCT116,-3.3979400086720375,1.044
HCT116,-2.9208187539523753,1.044
HCT116,-2.431798275933005,1.051
HCT116,-1.958607314841775,0.864
HCT116,-1.4685210829577449,0.562
HCT116,-1.0,0.071
HCT116,-0.5228787452803376,0.068
HCT116,-3.853871964321762,0.944
HCT116,-3.3979400086720375,0.964
HCT116,-2.9208187539523753,0.99
HCT116,-2.431798275933005,0.997
HCT116,-1.958607314841775,0.88
HCT116,-1.4685210829577449,0.447
HCT116,-1.0,0.087
HCT116,-0.5228787452803376,0.058
HCT116,-3.853871964321762,0.945
HCT116,-3.3979400086720375,0.918
HCT116,-2.9208187539523753,0.875
HCT116,-2.431798275933005,0.971
HCT116,-1.958607314841775,0.908
HCT116,-1.4685210829577449,0.557
HCT116,-1.0,0.069
HCT116,-0.5228787452803376,0.059
HCT116,-3.853871964321762,0.923
HCT116,-3.3979400086720375,0.986
HCT116,-2.9208187539523753,1.042
HCT116,-2.431798275933005,1.09
HCT116,-1.958607314841775,0.825
HCT116,-1.4685210829577449,0.457
HCT116,-1.0,0.052
HCT116,-0.5228787452803376,0.043
HT144,-3.853871964321762,0.931
HT144,-3.3979400086720375,0.969
HT144,-2.9208187539523753,0.912
HT144,-2.431798275933005,0.922
HT144,-1.958607314841775,0.864
HT144,-1.4685210829577449,0.857
HT144,-1.0,0.63
HT144,-0.5228787452803376,0.152
HT144,-3.853871964321762,0.905
HT144,-3.3979400086720375,0.948
HT144,-2.9208187539523753,0.934
HT144,-2.431798275933005,0.947
HT144,-1.958607314841775,0.85
HT144,-1.4685210829577449,0.773
HT144,-1.0,0.596
HT144,-0.5228787452803376,0.161
HT144,-3.853871964321762,0.907
HT144,-3.3979400086720375,1.044
HT144,-2.9208187539523753,0.922
HT144,-2.431798275933005,1.103
HT144,-1.958607314841775,0.9
HT144,-1.4685210829577449,0.767
HT144,-1.0,0.623
HT144,-0.5228787452803376,0.114
HT144,-3.853871964321762,0.876
HT144,-3.3979400086720375,1.122
HT144,-2.9208187539523753,0.854
HT144,-2.431798275933005,0.94
HT144,-1.958607314841775,0.826
HT144,-1.4685210829577449,0.631
HT144,-1.0,0.538
HT144,-0.5228787452803376,0.1
HT144,-3.853871964321762,1.006
HT144,-3.3979400086720375,0.973
HT144,-2.9208187539523753,0.98
HT144,-2.431798275933005,0.932
HT144,-1.958607314841775,0.799
HT144,-1.4685210829577449,0.648
HT144,-1.0,0.507
HT144,-0.5228787452803376,0.208
HT144,-3.853871964321762,1.044
HT144,-3.3979400086720375,0.967
HT144,-2.9208187539523753,1.024
HT144,-2.431798275933005,1.038
HT144,-1.958607314841775,0.701
HT144,-1.4685210829577449,0.731
HT144,-1.0,0.469
HT144,-0.5228787452803376,0.249
HT29,-3.853871964321762,0.85
HT29,-3.3979400086720375,0.924
HT29,-2.9208187539523753,0.793
HT29,-2.431798275933005,0.893
HT29,-1.958607314841775,1.081
HT29,-1.4685210829577449,0.534
HT29,-1.0,0.451
HT29,-0.5228787452803376,0.064
HT29,-3.853871964321762,0.95
HT29,-3.3979400086720375,0.969
HT29,-2.9208187539523753,0.885
HT29,-2.431798275933005,1.046
HT29,-1.958607314841775,1.034
HT29,-1.4685210829577449,0.447
HT29,-1.0,0.436
HT29,-0.5228787452803376,0.05
HT29,-3.853871964321762,0.919
HT29,-3.3979400086720375,0.972
HT29,-2.9208187539523753,0.453
HT29,-2.431798275933005,0.583
HT29,-1.958607314841775,0.998
HT29,-1.4685210829577449,0.467
HT29,-1.0,0.399
HT29,-0.5228787452803376,0.081
HT29,-3.853871964321762,1.049
HT29,-3.3979400086720375,1.043
HT29,-2.9208187539523753,0.999
HT29,-2.431798275933005,1.086
HT29,-1.958607314841775,0.939
HT29,-1.4685210829577449,0.603
HT29,-1.0,0.336
HT29,-0.5228787452803376,0.074
HT29,-3.853871964321762,0.805
HT29,-3.3979400086720375,0.848
HT29,-2.9208187539523753,0.76
HT29,-2.431798275933005,0.899
HT29,-1.958607314841775,0.793
HT29,-1.4685210829577449,0.63
HT29,-1.0,0.289
HT29,-0.5228787452803376,0.081
HT29,-3.853871964321762,1.061
HT29,-3.3979400086720375,0.98
HT29,-2.9208187539523753,1.027
HT29,-2.431798275933005,1.159
HT29,-1.958607314841775,0.948
HT29,-1.4685210829577449,0.624
HT29,-1.0,0.301
HT29,-0.5228787452803376,0.096
KPL1,-3.853871964321762,1.004
KPL1,-3.3979400086720375,0.926
KPL1,-2.9208187539523753,0.965
KPL1,-2.431798275933005,0.901
KPL1,-1.958607314841775,0.914
KPL1,-1.4685210829577449,0.864
KPL1,-1.0,0.56
KPL1,-0.5228787452803376,0.183
KPL1,-3.853871964321762,0.985
KPL1,-3.3979400086720375,0.83
KPL1,-2.9208187539523753,1.05
KPL1,-2.431798275933005,0.812
KPL1,-1.958607314841775,0.855
KPL1,-1.4685210829577449,0.853
KPL1,-1.0,0.683
KPL1,-0.5228787452803376,0.19
KPL1,-3.853871964321762,1.049
KPL1,-3.3979400086720375,1.15
KPL1,-2.9208187539523753,0.886
KPL1,-2.431798275933005,0.864
KPL1,-1.958607314841775,0.994
KPL1,-1.4685210829577449,0.749
KPL1,-1.0,0.578
KPL1,-0.5228787452803376,0.207
KPL1,-3.853871964321762,0.931
KPL1,-3.3979400086720375,1.015
KPL1,-2.9208187539523753,0.884
KPL1,-2.431798275933005,0.968
KPL1,-1.958607314841775,0.895
KPL1,-1.4685210829577449,0.683
KPL1,-1.0,0.554
KPL1,-0.5228787452803376,0.174
KPL1,-3.853871964321762,1.079
KPL1,-3.3979400086720375,0.917
KPL1,-2.9208187539523753,1.024
KPL1,-2.431798275933005,0.927
KPL1,-1.958607314841775,0.633
KPL1,-1.4685210829577449,0.626
KPL1,-1.0,0.236
KPL1,-0.5228787452803376,0.155
KPL1,-3.853871964321762,1.121
KPL1,-3.3979400086720375,0.994
KPL1,-2.9208187539523753,1.047
KPL1,-2.431798275933005,0.983
KPL1,-1.958607314841775,0.58
KPL1,-1.4685210829577449,0.491
KPL1,-1.0,0.24
KPL1,-0.5228787452803376,0.142
LNCAP,-3.853871964321762,0.893
LNCAP,-3.3979400086720375,0.895
LNCAP,-2.9208187539523753,0.827
LNCAP,-2.431798275933005,0.674
LNCAP,-1.958607314841775,0.961
LNCAP,-1.4685210829577449,0.371
LNCAP,-1.0,0.402
LNCAP,-0.5228787452803376,0.014
LNCAP,-3.853871964321762,1.115
LNCAP,-3.3979400086720375,0.808
LNCAP,-2.9208187539523753,1.054
LNCAP,-2.431798275933005,0.674
LNCAP,-1.958607314841775,0.684
LNCAP,-1.4685210829577449,0.396
LNCAP,-1.0,0.318
LNCAP,-0.5228787452803376,0.021
LNCAP,-3.853871964321762,1.019
LNCAP,-3.3979400086720375,0.872
LNCAP,-2.9208187539523753,1.214
LNCAP,-2.431798275933005,0.598
LNCAP,-1.958607314841775,0.774
LNCAP,-1.4685210829577449,0.372
LNCAP,-1.0,0.501
LNCAP,-0.5228787452803376,0.026
LNCAP,-3.853871964321762,0.986
LNCAP,-3.3979400086720375,0.908
LNCAP,-2.9208187539523753,1.049
LNCAP,-2.431798275933005,0.782
LNCAP,-1.958607314841775,0.327
LNCAP,-1.4685210829577449,0.374
LNCAP,-1.0,0.147
LNCAP,-0.5228787452803376,0.028
LNCAP,-3.853871964321762,0.897
LNCAP,-3.3979400086720375,0.969
LNCAP,-2.9208187539523753,1.024
LNCAP,-2.431798275933005,0.843
LNCAP,-1.958607314841775,0.436
LNCAP,-1.4685210829577449,0.377
LNCAP,-1.0,0.35
LNCAP,-0.5228787452803376,0.044
LNCAP,-3.853871964321762,1.02
LNCAP,-3.3979400086720375,0.923
LNCAP,-2.9208187539523753,0.863
LNCAP,-2.431798275933005,0.902
LNCAP,-1.958607314841775,0.573
LNCAP,-1.4685210829577449,0.37
LNCAP,-1.0,0.034
LNCAP,-0.5228787452803376,0.03
LNCAP,-3.853871964321762,1.181
LNCAP,-3.3979400086720375,1.279
LNCAP,-2.9208187539523753,0.852
LNCAP,-2.431798275933005,1.172
LNCAP,-1.958607314841775,0.657
LNCAP,-1.4685210829577449,0.408
LNCAP,-1.0,0.225
LNCAP,-0.5228787452803376,0.264
LNCAP,-3.853871964321762,1.031
LNCAP,-3.3979400086720375,1.262
LNCAP,-2.9208187539523753,0.966
LNCAP,-2.431798275933005,1.359
LNCAP,-1.958607314841775,0.633
LNCAP,-1.4685210829577449,0.548
LNCAP,-1.0,0.054
LNCAP,-0.5228787452803376,0.107
